Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
B;"Sun, RY; Zhao, G; Liu, MT";;;ASME;"Sun Ruoying; Zhao Gang; Liu Mengting";;;A SEARCH ALGORITHM WITH GOAL RESERVE MECHANISM FOR 15-TILES PUZZLE;2011 INTERNATIONAL CONFERENCE ON INSTRUMENTATION, MEASUREMENT, CIRCUITS AND SYSTEMS (ICIMCS 2011), VOL 3: COMPUTER-AIDED DESIGN, MANUFACTURING AND MANAGEMENT;;;;;International Conference on Instrumentation, Measurement, Circuits and Systems (ICIMCS 2011);DEC 12-13, 2011;Hong Kong, PEOPLES R CHINA;;;;;;;;;;;;;;;;;;;;;;;;978-0-7918-5990-2;;;;2011;;;;;;;523;526;;;;;;;;;WOS:000306295700111;;;;;;
B;"Dong, M; Zhou, CL; Wang, LX; Li, GR; Zhao, CA";;Hu, J;;"Dong, Ming; Zhou, Chunlai; Wang, Lanxiang; Li, Guangrong; Zhao, Chengan";;;A review of Three-dimensional Reconstruction Research based on Range Image;2011 INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTATION AND INDUSTRIAL APPLICATION (ICIA2011), VOL I;;;;;International Conference on Intelligent Computation and Industrial Application (ICIA2011);JUN 18-19, 2011;Hong Kong, PEOPLES R CHINA;Int Ind Elect Ctr;;;;;;;;;;;;;;;;;;;;;;;978-988-19116-5-0;;;;2011;;;;;;;229;234;;;;;;;;;WOS:000394721800057;;;;;;
B;"Li, X; Liang, JW; Wang, XF; Lin, GD";;Hu, J;;"Li, Xia; Liang, Jianwei; Wang, Xufa; Lin, Guangdong";;;Optimized Genetic Algorithm Based on Endocrinal Regulation Mechanism;2011 INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTATION AND INDUSTRIAL APPLICATION (ICIA2011), VOL I;;;;;International Conference on Intelligent Computation and Industrial Application (ICIA2011);JUN 18-19, 2011;Hong Kong, PEOPLES R CHINA;Int Ind Elect Ctr;;;;;;;;;;;;;;;;;;;;;;;978-988-19116-5-0;;;;2011;;;;;;;353;357;;;;;;;;;WOS:000394721800087;;;;;;
B;Wang, L;;Hu, J;;Wang, Ling;;;Bio-spired Neural Computational Model for Collision Detection;2011 INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTATION AND INDUSTRIAL APPLICATION (ICIA2011), VOL I;;;;;International Conference on Intelligent Computation and Industrial Application (ICIA2011);JUN 18-19, 2011;Hong Kong, PEOPLES R CHINA;Int Ind Elect Ctr;;;;;;;;;;;;;;;;;;;;;;;978-988-19116-5-0;;;;2011;;;;;;;521;524;;;;;;;;;WOS:000394721800128;;;;;;
B;"Ma, M; Wan, RY; Guo, M; He, J";;Hu, J;;"Ma Miao; Wan Ren-yuan; Guo Min; He Jiao";;;Artificial Bee Colony Algorithm based Multifocus Image Fusion in NSCT Domain;2011 INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTATION AND INDUSTRIAL APPLICATION (ICIA2011), VOL III;;;;;International Conference on Intelligent Computation and Industrial Application (ICIA2011);JUN 18-19, 2011;Hong Kong, PEOPLES R CHINA;Int Ind Elect Ctr;;;;;;;;;;;;;;;;;;;;;;;978-988-19116-5-0;;;;2011;;;;;;;152;155;;;;;;;;;WOS:000394722000037;;;;;;
B;"Zhao, DJ; Zhang, HS; Han, YN; Yang, HT; He, Y";;Hu, J;;"Zhao Dongjie; Zhang Haisu; Han Yanni; Yang Haitao; He Yu";;;An Approach to Study Collective Intelligence Based on Networked Data Mining;2011 INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTATION AND INDUSTRIAL APPLICATION (ICIA2011), VOL IV;;;;;International Conference on Intelligent Computation and Industrial Application (ICIA2011);JUN 18-19, 2011;Hong Kong, PEOPLES R CHINA;Int Ind Elect Ctr;;;;;;;;;;;;;;;;;;;;;;;978-988-19116-5-0;;;;2011;;;;;;;238;242;;;;;;;;;WOS:000393363200058;;;;;;
B;"Zhou, YM; Krundel, L; Mulvaney, D; Chouliaras, V; Xia, X; Li, GH";;Lee, G;;"Zhou, Yimin; Krundel, Ludovic; Mulvaney, David; Chouliaras, Vassilios; Xia, Xu; Li, Guohui";;;SPIKING NEURAL NETWORKS ON SELF-UPDATING SYSTEM-ON-CHIP FOR AUTONOMOUS CONTROL;2011 INTERNATIONAL CONFERENCE ON MECHANICAL ENGINEERING AND TECHNOLOGY (ICMET 2011);;;;;International Conference on Mechanical Engineering and Technology (ICMET 2011);NOV 24-25, 2011;London, ENGLAND;;;;;;;;;;;;;;;;;;;;;;;;978-0-7918-5989-6;;;;2011;;;;;;;537;+;;;;;;;;;WOS:000320410400107;;;;;;
B;"Ma, HZ; Zhang, QJ";;Lee, G;;"Ma, Huizhu; Zhang, Qiuju";;;FUZZY CLUSTERING BASED ON CULTURE ALGORITHM FOR IMAGE SEGMENTATION;2011 INTERNATIONAL CONFERENCE ON MECHANICAL ENGINEERING AND TECHNOLOGY (ICMET 2011);;;;;International Conference on Mechanical Engineering and Technology (ICMET 2011);NOV 24-25, 2011;London, ENGLAND;;;;;;;;;;;;;;;;;;;;;;;;978-0-7918-5989-6;;;;2011;;;;;;;757;760;;;;;;;;;WOS:000320410400155;;;;;;
B;"Cao, L; Zhou, GX";;Lee, G;;"Cao, Ling; Zhou, Guangxi";;;Intangible Cultural Heritage 2.0: Research on Digitization Preservation and Promotion Strategy through Web2.0 Tools;2011 INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY (ICSSS 2011), VOL 1;;;;;International Conference on Social Sciences and Society (ICSSS 2011);OCT 14-15, 2011;Shanghai, PEOPLES R CHINA;Informat Engn Res Inst, Int Commun Sci Assoc, Maldives Coll Higher Educ;;;;;;;;;;;;;;;;;;;;;;;978-0-9831693-4-5;;;;2011;;;;;;;96;+;;;;;;;;;WOS:000299796800019;;;;;;
B;Qiu, TH;;Lee, G;;Qiu Tianhe;;;Experimental Study of the Mental Process of Formulating Indirect Requests;2011 INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY (ICSSS 2011), VOL 1;;;;;International Conference on Social Sciences and Society (ICSSS 2011);OCT 14-15, 2011;Shanghai, PEOPLES R CHINA;Informat Engn Res Inst, Int Commun Sci Assoc, Maldives Coll Higher Educ;;;;;;;;;;;;;;;;;;;;;;;978-0-9831693-4-5;;;;2011;;;;;;;346;349;;;;;;;;;WOS:000299796800064;;;;;;
